Bathrooms (bin),Bedrooms (bin),Condition,Date,Id,Price (bin),View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
2.4,2,Average,5/20/2014,3438501329,283K,No View,No,2009,98106,2.5,2,2,7,47.5489,-122.364,305000,1590,2656
2.4,2,Average,5/4/2015,3438501327,319K,No View,No,2009,98106,2.5,2,2,7,47.5488,-122.364,352500,1570,2399
2.4,2,Average,5/30/2014,6056100295,319K,No View,No,2007,98108,2.5,2,2,7,47.5634,-122.298,330000,1240,1546
2.4,2,Average,8/2/2014,2724049222,142K,No View,No,2004,98118,2.5,2,2,7,47.5419,-122.271,163800,1000,1092
2.4,2,Average,12/1/2014,2724049222,213K,No View,No,2004,98118,2.5,2,2,7,47.5419,-122.271,220000,1000,1092
2.4,2,Average,2/24/2015,5649600462,354K,No View,No,2007,98118,2.5,2,2,7,47.5537,-122.282,370000,1390,1821
2.4,2,Average,6/2/2014,3278604400,283K,No View,No,2011,98126,2.5,2,2,7,47.5462,-122.369,285000,1380,1073
2.4,2,Average,7/24/2014,3278612570,283K,No View,No,2012,98126,2.5,2,2,7,47.5441,-122.369,294000,1380,889
2.4,2,Average,11/21/2014,7625702616,213K,No View,No,2003,98136,2.5,2,2,7,47.5499,-122.384,219000,809,940
2.4,2,Average,7/22/2014,9396700028,354K,No View,No,2007,98136,2.5,2,2,7,47.5532,-122.381,358000,1278,987
2.4,2,Average,7/31/2014,9396700024,354K,No View,No,2007,98136,2.5,2,2,7,47.5533,-122.381,360000,1233,1244
2.4,2,Average,5/28/2014,1498301168,319K,No View,No,2005,98144,2.5,2,2,7,47.5854,-122.313,325000,1050,1609
2.4,2,Average,5/22/2014,3319500317,354K,No View,No,2011,98144,2.5,2,2,7,47.6007,-122.305,380000,1230,987
2.4,2,Average,10/17/2014,3395380200,177K,No View,No,1987,98188,2.5,2,2,7,47.4606,-122.283,190000,1370,3438
2.4,2,Average,3/2/2015,2946003947,177K,No View,No,2007,98198,2.5,2,2,7,47.4166,-122.319,204000,1090,13444
2.4,2,Average,10/27/2014,2902200838,425K,No View,No,2006,98102,2.75,2,2,7,47.6405,-122.324,440000,1100,1088
2.4,2,Average,6/17/2014,9828701739,460K,No View,No,2006,98112,2.75,2,2,7,47.621,-122.298,465000,1430,1425
2.4,2,Average,10/21/2014,9828701741,460K,No View,No,2006,98112,2.75,2,2,7,47.621,-122.298,489000,1465,972
2.4,2,Average,4/2/2015,797000258,319K,No View,No,1947,98168,2.75,2,2,7,47.5102,-122.324,350000,2820,11770
2.4,2,Average,5/8/2014,1026069120,567K,No View,No,1993,98077,3,2,2,7,47.7479,-122.034,589900,3160,66646
2.4,2,Average,12/5/2014,567000755,425K,No View,No,2001,98144,3,2,2,7,47.5926,-122.296,450000,1790,1709
2.4,2,Average,5/1/2015,4253400098,390K,No View,No,2007,98144,3,2,2,7,47.5788,-122.315,405000,1160,1073
0.8,2,Average,5/8/2014,2771602427,425K,No View,No,2010,98119,1,2,2,8,47.6381,-122.375,438000,980,1179
0.8,2,Average,7/21/2014,2771602425,425K,No View,No,2010,98119,1,2,2,8,47.638,-122.375,447000,980,1600
0.8,2,Average,5/4/2015,9828701488,354K,No View,No,2005,98122,1,2,2,8,47.6192,-122.297,360000,880,1165
0.8,2,Average,6/11/2014,7589700055,531K,No View,No,2014,98117,1.25,2,2,8,47.6884,-122.374,545000,1240,2150
0.8,2,Average,7/3/2014,8944600620,496K,No View,No,1989,98007,1.5,2,2,8,47.6092,-122.146,509000,1930,3521
0.8,2,Average,11/10/2014,8857100060,248K,No View,No,1967,98008,1.5,2,2,8,47.6104,-122.112,277700,1240,1055
0.8,2,Average,2/3/2015,4310702775,248K,No View,No,2003,98103,1.5,2,2,8,47.6972,-122.341,280000,800,1196
0.8,2,Average,1/9/2015,3126049439,283K,No View,No,2004,98103,1.5,2,2,8,47.6967,-122.342,313000,870,747
0.8,2,Average,2/24/2015,4083306616,425K,No View,No,2008,98103,1.5,2,2,8,47.6489,-122.335,450000,960,1000
0.8,2,Average,7/14/2014,2997800024,425K,No View,No,2006,98106,1.5,2,2,8,47.5772,-122.409,450000,1310,1264
0.8,2,Average,4/24/2015,1773100430,283K,No View,No,2006,98106,1.5,2,2,8,47.5581,-122.363,313500,1270,1282
0.8,2,Average,4/10/2015,2767704302,390K,No View,No,1998,98107,1.5,2,2,8,47.6741,-122.375,422250,1280,1256
0.8,2,Average,4/8/2015,2767704682,460K,No View,No,2000,98107,1.5,2,2,8,47.6727,-122.375,482000,1300,1229
0.8,2,Average,7/7/2014,475000004,531K,No View,No,2009,98107,1.5,2,2,8,47.6684,-122.363,536000,1130,746
0.8,2,Average,4/21/2015,952007141,390K,No View,No,2005,98116,1.5,2,2,8,47.5619,-122.382,401750,1070,1236
0.8,2,Average,10/2/2014,7904700032,354K,No View,No,2006,98116,1.5,2,2,8,47.5638,-122.388,375000,1130,912
0.8,2,Average,10/14/2014,952006783,390K,No View,No,2006,98116,1.5,2,2,8,47.5626,-122.384,399500,1180,1722
0.8,2,Average,11/25/2014,6371000148,425K,No View,No,2008,98116,1.5,2,2,8,47.5761,-122.41,439108,1130,1340
0.8,2,Average,11/13/2014,2767600688,390K,No View,No,2007,98117,1.5,2,2,8,47.6756,-122.375,414500,1210,1278
0.8,2,Average,3/31/2015,2767600686,460K,No View,No,2007,98117,1.5,2,2,8,47.6754,-122.375,487000,1160,1118
0.8,2,Average,11/3/2014,7443000652,354K,No View,No,2003,98119,1.5,2,2,8,47.651,-122.368,365000,790,1123
0.8,2,Average,5/8/2014,1732800184,496K,No View,No,2005,98119,1.5,2,2,8,47.6319,-122.362,499000,1110,957
0.8,2,Average,8/22/2014,3880900236,425K,No View,No,2006,98119,1.5,2,2,8,47.627,-122.361,455000,910,966
0.8,2,Average,5/4/2015,9828200746,425K,No View,No,1970,98122,1.5,2,2,8,47.6175,-122.298,440000,1120,1024
0.8,2,Average,2/9/2015,9826701201,425K,No View,No,2005,98122,1.5,2,2,8,47.602,-122.306,450000,1530,1012
0.8,2,Average,8/7/2014,7234601166,460K,No View,No,2006,98122,1.5,2,2,8,47.617,-122.309,485500,1340,1286
0.8,2,Average,11/13/2014,9828702771,354K,No View,No,2007,98122,1.5,2,2,8,47.6187,-122.301,359950,893,965
0.8,2,Average,12/3/2014,1934800142,354K,No View,No,2007,98122,1.5,2,2,8,47.6028,-122.309,375000,1050,1046
0.8,2,Average,12/4/2014,1934800138,390K,No View,No,2007,98122,1.5,2,2,8,47.6029,-122.309,390000,1050,934
0.8,2,Average,5/5/2015,7228500037,531K,No View,No,2007,98122,1.5,2,2,8,47.6161,-122.302,555000,1190,1361
0.8,2,Average,6/26/2014,1934800087,425K,No View,No,2008,98122,1.5,2,2,8,47.6039,-122.307,446000,1370,1221
0.8,2,Average,10/1/2014,5288200072,425K,No View,No,2011,98126,1.5,2,2,8,47.5607,-122.378,427000,1440,725
0.8,2,Average,6/11/2014,6145601599,248K,No View,No,2006,98133,1.5,2,2,8,47.7034,-122.345,250000,982,846
0.8,2,Average,6/9/2014,7548301056,319K,No View,No,2008,98144,1.5,2,2,8,47.588,-122.305,345000,1340,1210
0.8,2,Average,7/10/2014,7548301044,319K,No View,No,2008,98144,1.5,2,2,8,47.5879,-122.304,342500,1320,826
0.8,2,Average,4/2/2015,7548301050,390K,No View,No,2008,98144,1.5,2,2,8,47.588,-122.304,390000,1340,1402
0.8,2,Average,11/17/2014,597000593,390K,No View,No,2009,98144,1.5,2,2,8,47.5758,-122.309,403000,1240,1101
0.8,2,Average,4/15/2015,424049283,319K,No View,No,2009,98144,1.5,2,2,8,47.5926,-122.3,345000,830,1034
0.8,2,Average,6/24/2014,1250200495,425K,No View,No,2015,98144,1.5,2,2,8,47.6001,-122.298,455000,1200,1259
1.6,2,Average,1/28/2015,3630000150,354K,No View,No,2005,98029,1.75,2,2,8,47.5478,-121.999,358500,1400,865
1.6,2,Average,9/26/2014,3630050180,354K,No View,No,2006,98029,1.75,2,2,8,47.5475,-121.999,360000,1230,1107
1.6,2,Average,6/16/2014,8929000170,354K,No View,No,2014,98029,1.75,2,2,8,47.5519,-121.999,357186,1210,1040
1.6,2,Average,7/8/2014,8929000130,354K,No View,No,2014,98029,1.75,2,2,8,47.5522,-121.999,357562,1210,1032
1.6,2,Average,10/4/2014,8929000060,319K,No View,No,2014,98029,1.75,2,2,8,47.5526,-121.998,351358,1210,1189
1.6,2,Average,4/13/2015,8929000250,390K,No View,No,2014,98029,1.75,2,2,8,47.5513,-121.998,395000,1210,1161
1.6,2,Average,6/28/2014,1442800400,213K,No View,No,1980,98038,1.75,2,2,8,47.3733,-122.057,230000,1910,3376
1.6,2,Average,8/26/2014,8682262230,460K,No View,No,2004,98053,1.75,2,2,8,47.7177,-122.034,489000,1810,4220
1.6,2,Average,9/13/2014,4032500035,283K,No View,No,1967,98065,1.75,2,2,8,47.5729,-121.676,295000,1560,43748
1.6,2,Average,9/19/2014,1646500810,602K,No View,No,2008,98103,1.75,2,2,8,47.6853,-122.356,625000,1460,1500
1.6,2,Average,7/21/2014,1025049268,531K,No View,No,2014,98105,1.75,2,2,8,47.6647,-122.284,549900,1140,936
1.6,2,Average,9/17/2014,2895800640,213K,No View,No,2014,98106,1.75,2,2,8,47.5171,-122.346,239800,1290,1493
1.6,2,Average,4/8/2015,2895800770,248K,No View,No,2014,98106,1.75,2,2,8,47.5171,-122.347,258800,1290,1624
1.6,2,Average,11/24/2014,6056111370,319K,No View,No,2012,98108,1.75,2,2,8,47.5648,-122.294,340000,1270,1916
1.6,2,Average,1/13/2015,6056111430,319K,No View,No,2012,98108,1.75,2,2,8,47.5646,-122.295,335000,1270,1685
1.6,2,Average,6/27/2014,6056110780,213K,No View,No,2014,98108,1.75,2,2,8,47.5647,-122.293,229800,1110,1773
1.6,2,Average,8/11/2014,1158700100,567K,No View,No,1983,98177,1.75,2,2,8,47.7581,-122.365,575000,2770,19700
1.6,2,Average,4/7/2015,3629960590,354K,No View,No,2003,98029,2,2,2,8,47.5476,-122.005,376000,1340,1635
1.6,2,Average,10/7/2014,4055700920,744K,No View,No,1934,98034,2,2,2,8,47.7162,-122.246,750000,2180,21392
1.6,2,Average,4/21/2015,7853340610,390K,No View,No,2012,98065,2,2,2,8,47.5169,-121.878,394000,1750,2731
1.6,2,Average,10/3/2014,476000017,531K,No View,No,2006,98107,2,2,2,8,47.6719,-122.392,553000,1400,1512
1.6,2,Average,4/6/2015,1225039067,425K,No View,No,2009,98107,2,2,2,8,47.6675,-122.368,455000,1190,1303
1.6,2,Average,2/12/2015,9828702335,567K,No View,No,2014,98112,2,2,2,8,47.6205,-122.3,570000,1140,690
1.6,2,Average,2/20/2015,9828702336,602K,No View,No,2014,98112,2,2,2,8,47.6206,-122.3,610000,1210,740
1.6,2,Average,4/20/2015,9828702339,673K,No View,No,2014,98112,2,2,2,8,47.6205,-122.299,699999,1460,1085
1.6,2,Average,11/11/2014,6371000020,354K,No View,No,2004,98116,2,2,2,8,47.5788,-122.41,380000,1120,780
1.6,2,Average,1/22/2015,6371000026,354K,No View,No,2004,98116,2,2,2,8,47.5788,-122.41,367500,1030,600
1.6,2,Average,1/28/2015,1407300012,390K,No View,No,2004,98122,2,2,2,8,47.6181,-122.302,400000,1050,1173
1.6,2,Average,6/6/2014,1189000492,390K,No View,No,2007,98122,2,2,2,8,47.612,-122.295,405000,1405,1073
1.6,2,Average,8/20/2014,3277800823,319K,No View,No,2009,98126,2,2,2,8,47.5455,-122.375,327000,1490,1627
1.6,2,Average,11/3/2014,567000392,354K,No View,No,2009,98144,2,2,2,8,47.5926,-122.295,363000,920,1201
1.6,2,Average,4/28/2015,1226039124,496K,No View,No,2008,98177,2,2,2,8,47.7628,-122.359,529000,1540,9714
1.6,2,Average,6/27/2014,114100155,354K,No View,No,1985,98028,2.25,2,2,8,47.7689,-122.241,355000,1330,10838
1.6,2,Average,9/26/2014,3629960680,390K,No View,No,2004,98029,2.25,2,2,8,47.5483,-122.004,395000,1620,1841
1.6,2,Average,10/21/2014,3630060070,460K,No View,No,2005,98029,2.25,2,2,8,47.547,-121.997,472500,1700,2383
1.6,2,Average,12/29/2014,9542890100,390K,No View,No,2010,98052,2.25,2,2,8,47.6861,-122.103,415000,1130,2191
1.6,2,Average,6/10/2014,2902200240,496K,No View,No,2005,98102,2.25,2,2,8,47.6371,-122.327,499950,1060,1208
1.6,2,Average,7/7/2014,2902200237,496K,No View,No,2006,98102,2.25,2,2,8,47.6369,-122.327,505000,1060,1209
1.6,2,Average,10/20/2014,5694500386,390K,No View,No,1999,98103,2.25,2,2,8,47.659,-122.346,399950,1140,1184
1.6,2,Average,1/26/2015,3179100482,425K,No View,No,2003,98105,2.25,2,2,8,47.6692,-122.279,450000,1040,1377
1.6,2,Average,9/30/2014,1025049266,531K,No View,No,2014,98105,2.25,2,2,8,47.6647,-122.284,555000,1160,954
1.6,2,Average,8/19/2014,8165501640,283K,No View,No,2007,98106,2.25,2,2,8,47.5395,-122.369,309950,1460,1607
1.6,2,Average,12/18/2014,8165501620,319K,No View,No,2007,98106,2.25,2,2,8,47.5396,-122.368,348500,1550,1824
1.6,2,Average,3/6/2015,8165501540,319K,No View,No,2007,98106,2.25,2,2,8,47.5394,-122.368,335000,1420,1246
1.6,2,Average,4/30/2015,8165501700,319K,No View,No,2007,98106,2.25,2,2,8,47.5398,-122.369,325000,1550,2285
1.6,2,Average,11/25/2014,8165501510,319K,No View,No,2008,98106,2.25,2,2,8,47.5394,-122.368,320000,1550,1827
1.6,2,Average,12/5/2014,8165500110,319K,No View,No,2008,98106,2.25,2,2,8,47.54,-122.368,328000,1550,2079
1.6,2,Average,6/17/2014,9828702518,460K,No View,No,2004,98112,2.25,2,2,8,47.6192,-122.301,479000,1230,932
1.6,2,Average,10/21/2014,9828702902,460K,No View,No,2006,98112,2.25,2,2,8,47.6207,-122.301,495000,1160,1010
1.6,2,Average,9/3/2014,7169500200,496K,No View,No,2005,98115,2.25,2,2,8,47.6765,-122.301,522500,1430,1210
1.6,2,Average,12/5/2014,7169500020,496K,No View,No,2005,98115,2.25,2,2,8,47.6768,-122.301,510000,1470,1101
1.6,2,Average,12/19/2014,7169500130,460K,No View,No,2005,98115,2.25,2,2,8,47.6764,-122.301,495000,1460,1623
1.6,2,Average,11/20/2014,6371000100,460K,No View,No,2005,98116,2.25,2,2,8,47.577,-122.41,479000,1330,1380
1.6,2,Average,8/29/2014,3052700213,460K,No View,No,2010,98117,2.25,2,2,8,47.6783,-122.376,461100,1210,1267
1.6,2,Average,3/18/2015,7011201476,425K,No View,No,2006,98119,2.25,2,2,8,47.6363,-122.371,459000,1010,1107
1.6,2,Average,5/6/2014,9828702513,425K,No View,No,2004,98122,2.25,2,2,8,47.6191,-122.301,460000,1230,929
1.6,2,Average,11/20/2014,1355300009,602K,No View,No,2007,98122,2.25,2,2,8,47.6168,-122.314,625000,1390,916
1.6,2,Average,9/30/2014,1934800078,425K,No View,No,2008,98122,2.25,2,2,8,47.6037,-122.307,430000,1040,1516
1.6,2,Average,10/16/2014,7234600903,390K,No View,No,2008,98122,2.25,2,2,8,47.6124,-122.309,419000,1180,1253
1.6,2,Average,4/13/2015,955000453,567K,No View,No,2009,98122,2.25,2,2,8,47.6199,-122.304,574000,1100,1114
1.6,2,Average,3/9/2015,3037200141,531K,No View,No,2010,98122,2.25,2,2,8,47.6032,-122.311,546000,1530,1324
1.6,2,Average,12/15/2014,3278602170,319K,No View,No,2006,98126,2.25,2,2,8,47.5482,-122.374,347000,1560,1705
1.6,2,Average,4/30/2015,7996700220,354K,No View,No,1980,98133,2.25,2,2,8,47.7154,-122.341,375000,1640,2240
1.6,2,Average,12/2/2014,6300000693,213K,No View,No,2001,98133,2.25,2,2,8,47.7064,-122.344,233000,850,1656
1.6,2,Average,6/25/2014,2810100023,390K,No View,No,2007,98136,2.25,2,2,8,47.5421,-122.388,395000,1350,1493
1.6,2,Average,2/27/2015,7625703357,390K,No View,No,2011,98136,2.25,2,2,8,47.5477,-122.388,394950,1300,2104
1.6,2,Average,6/24/2014,1498300775,354K,No View,No,2007,98144,2.25,2,2,8,47.5844,-122.316,355000,930,747
1.6,2,Average,10/20/2014,7660600131,354K,No View,No,2008,98144,2.25,2,2,8,47.5877,-122.316,374950,1240,1172
1.6,2,Average,5/20/2014,3274800460,354K,No View,No,2012,98144,2.25,2,2,8,47.5942,-122.298,387000,1230,1280
1.6,2,Average,4/16/2015,2771603314,460K,No View,No,2006,98199,2.25,2,2,8,47.6386,-122.388,475000,1060,925
2.4,2,Average,3/31/2015,6705120280,425K,No View,No,1986,98006,2.5,2,2,8,47.5423,-122.189,428000,1414,1960
2.4,2,Average,7/10/2014,3630070280,390K,No View,No,2005,98029,2.5,2,2,8,47.5472,-121.994,418000,1500,3608
2.4,2,Average,8/13/2014,8138870060,390K,No View,No,2012,98029,2.5,2,2,8,47.5449,-122.011,395825,1590,1679
2.4,2,Average,5/5/2014,8138870530,390K,No View,No,2014,98029,2.5,2,2,8,47.5441,-122.013,419190,1590,1426
2.4,2,Average,8/21/2014,3886000010,460K,No View,No,2005,98033,2.5,2,2,8,47.6874,-122.165,487000,1470,2533
2.4,2,Average,4/17/2015,3026059361,460K,No View,No,2007,98034,2.5,2,2,8,47.7043,-122.209,479000,1741,1439
2.4,2,Average,4/8/2015,2887970040,213K,No View,No,1999,98042,2.5,2,2,8,47.3728,-122.157,234950,1720,3132
2.4,2,Average,8/18/2014,7694800070,460K,No View,No,2007,98052,2.5,2,2,8,47.6658,-122.132,468000,1480,2167
2.4,2,Average,11/13/2014,9542890010,390K,No View,No,2008,98052,2.5,2,2,8,47.6858,-122.102,400000,1340,1240
2.4,2,Average,7/23/2014,8682220390,744K,No View,No,2003,98053,2.5,2,2,8,47.7106,-122.023,750000,2630,7957
2.4,2,Average,7/29/2014,8682260850,496K,No View,No,2005,98053,2.5,2,2,8,47.7132,-122.034,504975,1900,4871
2.4,2,Average,3/30/2015,8682262240,496K,No View,No,2005,98053,2.5,2,2,8,47.7175,-122.034,505000,1900,5065
2.4,2,Average,6/20/2014,8682281710,744K,No View,No,2006,98053,2.5,2,2,8,47.7072,-122.017,754800,2770,7781
2.4,2,Average,9/3/2014,8682280270,496K,No View,No,2006,98053,2.5,2,2,8,47.7029,-122.015,530000,1900,2983
2.4,2,Average,4/17/2015,8682282210,531K,No View,No,2006,98053,2.5,2,2,8,47.7082,-122.019,541500,1900,3690
2.4,2,Average,8/1/2014,2781280150,177K,No View,No,2006,98055,2.5,2,2,8,47.4499,-122.189,190000,1100,1737
2.4,2,Average,4/29/2015,869700350,319K,No View,No,1999,98059,2.5,2,2,8,47.4911,-122.154,330000,1310,2915
2.4,2,Average,6/17/2014,7853340490,354K,No View,No,2008,98065,2.5,2,2,8,47.5167,-121.878,386000,1620,3196
2.4,2,Average,11/19/2014,7853340430,354K,No View,No,2009,98065,2.5,2,2,8,47.5163,-121.878,378000,1700,2513
2.4,2,Average,1/5/2015,2025049175,744K,No View,No,1999,98102,2.5,2,2,8,47.6423,-122.329,755000,1360,2070
2.4,2,Average,4/6/2015,6852700520,602K,No View,No,2006,98102,2.5,2,2,8,47.6228,-122.319,635000,1390,1132
2.4,2,Average,11/12/2014,2902200016,638K,No View,No,2014,98102,2.5,2,2,8,47.6372,-122.324,653500,1680,1240
2.4,2,Average,6/2/2014,9267200345,319K,No View,No,2005,98103,2.5,2,2,8,47.6962,-122.342,342000,1175,1366
2.4,2,Average,7/22/2014,2919700109,319K,No View,No,2006,98103,2.5,2,2,8,47.6904,-122.364,350000,1280,940
2.4,2,Average,8/11/2014,2919700107,319K,No View,No,2006,98103,2.5,2,2,8,47.6905,-122.364,319950,1280,819
2.4,2,Average,4/17/2015,2436700625,567K,No View,No,2006,98105,2.5,2,2,8,47.665,-122.285,590000,1450,1281
2.4,2,Average,11/18/2014,2114700368,283K,No View,No,2008,98106,2.5,2,2,8,47.5342,-122.349,299000,1400,1262
2.4,2,Average,9/29/2014,2767704649,390K,No View,No,2007,98107,2.5,2,2,8,47.6728,-122.374,425000,1320,1329
2.4,2,Average,7/24/2014,2768200213,496K,No View,No,2014,98107,2.5,2,2,8,47.6689,-122.362,529000,1320,1395
2.4,2,Average,8/25/2014,2768200210,496K,No View,No,2014,98107,2.5,2,2,8,47.6689,-122.363,499000,1320,1157
2.4,2,Average,9/11/2014,2768200212,496K,No View,No,2014,98107,2.5,2,2,8,47.6689,-122.363,499950,1320,1157
2.4,2,Average,10/6/2014,2768200209,496K,No View,No,2014,98107,2.5,2,2,8,47.6689,-122.363,529950,1500,1174
2.4,2,Average,5/8/2014,5332200026,531K,No View,No,1997,98112,2.5,2,2,8,47.6254,-122.292,553650,1360,1349
2.4,2,Average,5/12/2014,9828702519,460K,No View,No,2004,98112,2.5,2,2,8,47.6192,-122.301,490000,1230,1391
2.4,2,Average,3/24/2015,952002250,390K,No View,No,2008,98116,2.5,2,2,8,47.5655,-122.386,407000,1340,999
2.4,2,Average,5/12/2014,9272201704,354K,No View,No,2009,98116,2.5,2,2,8,47.5874,-122.386,369000,980,895
2.4,2,Average,10/31/2014,9376301112,425K,No View,No,2008,98117,2.5,2,2,8,47.6903,-122.37,457000,1380,1329
2.4,2,Average,9/10/2014,3879900750,567K,No View,No,2009,98119,2.5,2,2,8,47.6273,-122.359,579000,1280,1051
2.4,2,Average,7/1/2014,2771602174,496K,No View,No,2012,98119,2.5,2,2,8,47.6384,-122.373,525000,1160,1458
2.4,2,Average,10/21/2014,1189000207,354K,No View,No,2001,98122,2.5,2,2,8,47.6131,-122.297,387000,1170,1394
2.4,2,Average,3/11/2015,1189000205,390K,No View,No,2001,98122,2.5,2,2,8,47.6132,-122.297,400000,1170,1811
2.4,2,Average,5/16/2014,7234600832,496K,No View,No,2006,98122,2.5,2,2,8,47.6112,-122.309,500000,1310,1500
2.4,2,Average,5/23/2014,2254502071,354K,No View,No,2006,98122,2.5,2,2,8,47.6093,-122.31,375000,750,1430
2.4,2,Average,7/1/2014,6840701610,319K,No View,No,2007,98122,2.5,2,2,8,47.6018,-122.299,332888,1050,1029
2.4,2,Average,11/20/2014,1934800086,425K,No View,No,2008,98122,2.5,2,2,8,47.604,-122.307,435000,1560,1222
2.4,2,Average,7/22/2014,3278600240,354K,No View,No,2007,98126,2.5,2,2,8,47.5496,-122.373,372500,1400,2958
2.4,2,Average,2/13/2015,9358001566,390K,No View,No,2008,98126,2.5,2,2,8,47.5659,-122.37,400000,1410,1281
2.4,2,Average,5/13/2015,6145600900,319K,No View,No,2008,98133,2.5,2,2,8,47.7041,-122.351,325000,1170,1638
2.4,2,Average,8/7/2014,8730000210,354K,No View,No,2009,98133,2.5,2,2,8,47.7055,-122.342,355000,1370,1140
2.4,2,Average,5/22/2014,5393600562,425K,No View,No,2007,98144,2.5,2,2,8,47.5825,-122.313,430000,1520,1588
2.4,2,Average,9/12/2014,567000775,425K,No View,No,2008,98144,2.5,2,2,8,47.5923,-122.296,449000,1460,1296
2.4,2,Average,11/18/2014,2771604226,496K,No View,No,1994,98199,2.5,2,2,8,47.6375,-122.387,509500,1590,1485
2.4,2,Average,3/10/2015,7853340860,390K,No View,No,2010,98065,2.75,2,2,8,47.5175,-121.878,420000,1760,4139
2.4,2,Average,5/4/2015,8730000260,354K,No View,No,2009,98133,2.75,2,2,8,47.7053,-122.342,369950,1370,1140
2.4,2,Average,5/14/2015,8730000270,354K,No View,No,2009,98133,2.75,2,2,8,47.7052,-122.343,359000,1370,1140
2.4,2,Average,7/3/2014,2488200455,390K,No View,No,2006,98136,2.75,2,2,8,47.522,-122.39,405500,1350,1252
2.4,2,Average,5/5/2014,6865200444,496K,No View,No,2000,98103,3,2,2,8,47.6634,-122.34,531000,1270,1175
2.4,2,Average,5/5/2014,2488200459,390K,No View,No,2006,98136,3,2,2,8,47.5221,-122.39,405000,1410,1240
2.4,2,Average,3/9/2015,2487700274,425K,No View,No,2007,98136,3,2,2,8,47.5224,-122.39,437000,1460,1452
3.2,2,Average,8/6/2014,3278601940,319K,No View,No,2006,98126,3.25,2,2,8,47.548,-122.375,349950,1570,2031
0.8,2,Average,12/16/2014,9424400110,708K,No View,No,2007,98116,1,2,2,9,47.5657,-122.395,725000,2410,5930
0.8,2,Average,9/3/2014,955000430,531K,No View,No,2009,98112,1.25,2,2,9,47.6193,-122.304,540000,1230,1569
0.8,2,Average,6/11/2014,9828702310,460K,No View,No,2007,98112,1.5,2,2,9,47.6192,-122.299,487028,1295,1093
0.8,2,Average,9/23/2014,8850000509,496K,No View,No,2007,98144,1.5,2,2,9,47.5892,-122.309,525000,1620,1444
1.6,2,Average,11/20/2014,1923039022,673K,No View,No,2001,98070,1.75,2,2,9,47.463,-122.475,700000,1679,577605
1.6,2,Average,10/10/2014,3276050110,354K,No View,No,1977,98092,1.75,2,2,9,47.3103,-122.199,368500,2510,19141
1.6,2,Average,2/9/2015,6003001999,496K,No View,No,2010,98102,1.75,2,2,9,47.6192,-122.316,530000,1170,976
1.6,2,Average,11/3/2014,774100355,354K,No View,No,2005,98014,2,2,2,9,47.72,-121.402,370000,2100,58488
1.6,2,Average,6/13/2014,822039004,815K,No View,No,1990,98070,2,2,2,9,47.4125,-122.455,849900,2280,641203
1.6,2,Average,12/15/2014,7899800857,248K,No View,No,2008,98106,2,2,2,9,47.5212,-122.357,256950,1070,635
1.6,2,Average,3/5/2015,7899800864,248K,No View,No,2008,98106,2,2,2,9,47.5213,-122.357,259950,1070,649
1.6,2,Average,3/19/2015,7899800860,248K,No View,No,2008,98106,2,2,2,9,47.5213,-122.357,259950,1070,649
1.6,2,Average,11/5/2014,7579200767,425K,No View,No,2004,98116,2,2,2,9,47.5592,-122.385,435000,1440,1170
1.6,2,Average,7/18/2014,7600136,390K,No View,No,2007,98122,2,2,2,9,47.6023,-122.314,411000,1130,1148
1.6,2,Average,1/23/2015,8725950170,921K,No View,No,2007,98004,2.25,2,2,9,47.6213,-122.2,950000,2200,2043
1.6,2,Average,2/16/2015,2436700666,531K,No View,No,2004,98105,2.25,2,2,9,47.6666,-122.285,550700,1190,1499
1.6,2,Average,9/5/2014,1604601572,319K,No View,No,2009,98118,2.25,2,2,9,47.5663,-122.29,345000,860,696
1.6,2,Average,9/5/2014,1604601570,354K,No View,No,2009,98118,2.25,2,2,9,47.5663,-122.289,374000,1100,1695
1.6,2,Average,3/19/2015,976000903,638K,No View,No,2014,98119,2.25,2,2,9,47.6461,-122.362,655000,1460,1851
1.6,2,Average,8/26/2014,2770601530,496K,No View,No,2015,98199,2.25,2,2,9,47.6514,-122.385,500000,1570,1269
2.4,2,Average,7/8/2014,3630120330,602K,No View,No,2005,98029,2.5,2,2,9,47.5545,-122.002,630000,2290,3507
2.4,2,Average,6/25/2014,7436300160,390K,No View,No,1997,98033,2.5,2,2,9,47.6897,-122.175,409900,1590,1845
2.4,2,Average,7/28/2014,7436300170,390K,No View,No,1997,98033,2.5,2,2,9,47.6897,-122.175,411000,1590,2088
2.4,2,Average,8/25/2014,325059086,779K,No View,No,1943,98052,2.5,2,2,9,47.6832,-122.164,811000,2510,17986
2.4,2,Average,7/24/2014,8682230760,815K,No View,No,2004,98053,2.5,2,2,9,47.7112,-122.033,850000,3360,6750
2.4,2,Average,12/24/2014,3449820100,531K,No View,No,1998,98056,2.5,2,2,9,47.512,-122.175,535000,2730,7246
2.4,2,Average,10/8/2014,293670040,460K,No View,No,2007,98103,2.5,2,2,9,47.6875,-122.339,482500,1170,809
2.4,2,Average,4/22/2015,2768100512,638K,No View,No,2015,98107,2.5,2,2,9,47.6692,-122.372,659000,1450,1213
